_id,cate,clink,ilink,info,loc,name,point,rand
ObjectId(5d248a2a7a10db99e1b99417),剧情/运动,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2556883031.jpg,https://movie.douban.com/subject/27024959/,电影根据体育历史中著名的传奇真实事件改编，讲述了1972年慕尼黑奥运会篮球决赛中，前苏联篮球队打败了保持了36年全胜纪录的美国队的传奇故事。在决赛结束前三秒钟，美国队以一分优势领先。美国队已经开始提前庆祝比赛的胜利了，因为他们相信比赛结果已成定局。然而，一位来自苏联的不知名篮球教练，率领着艰难、困苦、贫穷中的苏联国家队，比赛结果发生逆转，整个篮球历史也发生了改变。,俄罗斯,绝杀慕尼黑,8.3,10
ObjectId(5d248a2a7a10db99e1b99419),动作/科幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512123434.jpg,https://movie.douban.com/subject/6390825/,位于非洲的神秘国家瓦坎达，凭借来自宇宙的振金而成为科技极度发达的国家，不过他们长久封闭，始终对外界保守这个秘密。在前国王死于联合国爆炸袭击后，特查拉王子（查德维克·博斯曼ChadwickBoseman饰）继任成为新的国王，同时他也是黑豹的继承者。登基之后，特查拉与前女友娜吉雅（露皮塔·尼永奥LupitaNyongo饰）、贴身侍卫奥姆烨（丹娜·奎里拉DanaiGurira饰）追查曾经盗取振金并杀害瓦坎达人的尤利西斯·克劳（安迪·瑟金斯AndySerkis饰）。一番厮杀后，克劳侥幸逃脱，谁知最终死于合伙人艾瑞克·克尔芒戈（迈克尔·B·乔丹MichaelB.Jordan饰）之手。艾瑞克同样具有瓦坎达血统，而且当年他的父亲死在了自己的兄弟——特查拉父亲的手中。    怀着莫大的仇恨，艾瑞克踏足瓦坎达，去争夺至高无上的王位……,美国/南非/韩国/澳大利亚,黑豹,6.5,11
ObjectId(5d248a2a7a10db99e1b9941b),动作/科幻/冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1182659238.jpg,https://movie.douban.com/subject/2138838/,上世纪40年代，纳粹及其邪恶轴心的战火烧遍世界各个角落。居住在布鲁克林的小个子史蒂夫·罗格斯（克里斯·埃文斯ChrisEvans饰）心系国家，一心上阵杀敌，可是糟糕的体格让他始终被征兵办拒之门外。偶然的机会，在德籍科学家厄斯金博士（StanleyTucci饰）的帮助下，这个小个子男孩得以走入兵营，并接受了博士的试验，化身成为高大健壮、膂力过人的超级战士。与此同时，德国纳粹红骷髅部队的首领约翰·施密特（雨果·维文HugoWeaving饰）依靠超自然的力量建立起一支超级战队，企图称霸全世界。    为了营救好友，史蒂夫以美国队长的形象闯入施密特的军营，正邪两大超级战士的战斗就此展开……,美国,美国队长,7.0,12
ObjectId(5d248a2a7a10db99e1b9941d),剧情/喜剧/传记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,https://movie.douban.com/subject/27060077/,托尼（维果·莫腾森ViggoMortensen饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里MahershalaAli饰）的黑人钢琴家提出雇佣托尼。    唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。,美国,绿皮书,8.9,13
ObjectId(5d248a2a7a10db99e1b9941f),动作/奇幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2156839164.jpg,https://movie.douban.com/subject/6560058/,"    纽约大战后，雷神索尔（克里斯·海姆斯沃斯ChrisHemsworth饰）将弟弟洛基（汤姆·希德勒斯顿TomHiddleston饰）带回仙宫囚禁起来，此外帮助九大国度平定纷争，威名扶摇直上。虽然父王奥丁（安东尼·霍普金斯AnthonyHopkins饰）劝其及早即位，但索尔念念不忘地球的美丽女孩简·福斯特（娜塔丽·波特曼NataliePortman饰）。与此同时，简在和黛西及其助手伊安调查某个区域时意外被神秘物质入侵，却也因此重逢索尔，并随其返回仙宫。令人意想不到的是，藏在简体内的物质来自远古的黑暗精灵玛勒基斯（克里斯托弗·埃克莱斯顿ChristopherEccleston饰）。在“天体汇聚”的时刻再次到来之际，玛勒基斯企图摧毁九大国度，缔造一个全然黑暗的宇宙。    藏匿简的仙宫受到重创，而索尔和洛基这对冤家兄弟也不得不联手迎战...",美国,雷神2：黑暗世界,7.4,14
ObjectId(5d248a2a7a10db99e1b99421),剧情/动作/犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2558294190.jpg,https://movie.douban.com/subject/30175306/,"悍匪龙志强，在香港回归前，趁香港英政府不作为，而屡犯巨案，先后绑架富豪利家及雷家之长子，勒索超过二十亿元，事主怕被报复,交赎款后都不敢报警。中国公安部极为关注，与香港警方合力，派香港警员何天卧底潜入龙志强犯罪团伙，发现他正策划绑架澳门富豪贺不凡，最终陆港警察合力勇擒龙志强，救出贺不凡。",香港/中国大陆,追龙Ⅱ,5.7,15
ObjectId(5d248a2a7a10db99e1b99423),动作/科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1955027201.jpg,https://movie.douban.com/subject/3231742/,"    自纽约事件以来，托尼·斯塔克（小罗伯特·唐尼RobertDowneyJr.饰）为前所未有的焦虑症所困扰。他疯狂投入钢铁侠升级版的研发，为此废寝忘食，甚至忽略了女友佩珀·波茨（格温妮斯·帕特洛GwynethPaltrow饰）的感受。与此同时，臭名昭著的恐怖头目曼达林（本·金斯利BenKingsley饰）制造了一连串的爆炸袭击事件，托尼当年最忠诚的保镖即在最近的一次袭击中身负重伤。未过多久，托尼、佩珀以及曾与他有过一面之缘的女植物学家玛雅（丽贝卡·豪尔RebeccaHall饰）在家中遭到猛烈的炮火袭击，几乎丧命，而这一切似乎都与22年前那名偶然邂逅的科学家阿尔德里奇·基连（盖·皮尔斯GuyPearce饰）及其终极生物的研究有关。    即使有精密先进的铠甲护身，也无法排遣发自心底的焦虑。被击碎一切的托尼，如何穿越来自地狱的熊熊烈...",美国/中国大陆,钢铁侠3,7.8,16
ObjectId(5d248a2a7a10db99e1b99425),科幻/灾难,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,https://movie.douban.com/subject/26266893/,近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧饰）长大，他带着妹妹朵朵（赵今麦饰）偷偷跑到地表，偷开外公韩子昂（吴孟达饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……    本片根据刘慈欣的同名小说改编。,中国大陆,流浪地球,7.9,17
ObjectId(5d248a2a7a10db99e1b99427),动画/奇幻/冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/,小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。    妹妹小梅常常挂念生病中的母亲，嚷着要姐姐带着她去看母亲，但小月拒绝了。小梅竟然自己前往，不料途中迷路了，小月只好寻找她的龙猫及小精灵朋友们帮助。,日本,龙猫,9.2,18
ObjectId(5d248a2a7a10db99e1b99429),剧情/喜剧,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,https://movie.douban.com/subject/26752088/,普通中年男子程勇（徐峥饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣饰），以及脾气暴烈的“黄毛”（章宇饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉饰）和瑞士正牌医药代表（李乃文饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。    本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。,中国大陆,我不是药神,9.0,19
